Iteration: 54, total timesteps: 22200, total time: 181.7, FPS: 122.2, mean reward: -8.2, min/max reward: -32.1/53.5
Iteration: 55, total timesteps: 22600, total time: 185.0, FPS: 122.2, mean reward: -8.2, min/max reward: -32.9/53.5
Iteration: 56, total timesteps: 23000, total time: 186.6, FPS: 123.2, mean reward: -8.2, min/max reward: -32.9/53.5
Iteration: 57, total timesteps: 23400, total time: 189.8, FPS: 123.3, mean reward: -7.4, min/max reward: -35.5/53.5
Iteration: 58, total timesteps: 23800, total time: 193.0, FPS: 123.3, mean reward: -7.8, min/max reward: -35.5/53.5
Iteration: 59, total timesteps: 24200, total time: 196.3, FPS: 123.3, mean reward: -9.4, min/max reward: -35.5/48.0
Iteration: 60, total timesteps: 24600, total time: 199.7, FPS: 123.2, mean reward: -10.1, min/max reward: -35.5/48.0
Iteration: 61, total timesteps: 25000, total time: 203.0, FPS: 123.1, mean reward: -10.5, min/max reward: -35.5/48.0
Iteration: 62, total timesteps: 25400, total time: 205.1, FPS: 123.9, mean reward: -10.5, min/max reward: -35.5/48.0
Iteration: 63, total timesteps: 25800, total time: 209.0, FPS: 123.5, mean reward: -10.1, min/max reward: -35.5/51.4
Iteration: 64, total timesteps: 26200, total time: 212.8, FPS: 123.1, mean reward: -10.0, min/max reward: -35.5/51.4
Iteration: 65, total timesteps: 26600, total time: 216.7, FPS: 122.8, mean reward: -10.1, min/max reward: -35.5/51.4
Iteration: 66, total timesteps: 27000, total time: 220.5, FPS: 122.5, mean reward: -10.3, min/max reward: -35.5/51.4
Iteration: 67, total timesteps: 27400, total time: 224.2, FPS: 122.2, mean reward: -9.6, min/max reward: -35.5/52.8
Iteration: 68, total timesteps: 27800, total time: 226.4, FPS: 122.8, mean reward: -9.6, min/max reward: -35.5/52.8
Iteration: 69, total timesteps: 28200, total time: 230.2, FPS: 122.5, mean reward: -10.4, min/max reward: -35.9/52.8
Iteration: 70, total timesteps: 28600, total time: 233.7, FPS: 122.4, mean reward: -11.1, min/max reward: -35.9/52.8
Iteration: 71, total timesteps: 29000, total time: 236.7, FPS: 122.5, mean reward: -10.9, min/max reward: -35.9/52.8
Iteration: 72, total timesteps: 29400, total time: 239.8, FPS: 122.6, mean reward: -11.1, min/max reward: -35.9/52.8
Iteration: 73, total timesteps: 29800, total time: 243.1, FPS: 122.6, mean reward: -10.7, min/max reward: -35.9/52.8
Iteration: 74, total timesteps: 30200, total time: 245.0, FPS: 123.3, mean reward: -10.7, min/max reward: -35.9/52.8
Iteration: 75, total timesteps: 30600, total time: 248.3, FPS: 123.3, mean reward: -10.5, min/max reward: -35.9/52.8
Iteration: 76, total timesteps: 31000, total time: 251.6, FPS: 123.2, mean reward: -10.5, min/max reward: -35.9/52.8
Iteration: 77, total timesteps: 31400, total time: 255.1, FPS: 123.1, mean reward: -11.6, min/max reward: -35.9/52.8
Iteration: 78, total timesteps: 31800, total time: 258.9, FPS: 122.8, mean reward: -12.1, min/max reward: -35.9/52.8
Iteration: 79, total timesteps: 32200, total time: 262.9, FPS: 122.5, mean reward: -12.5, min/max reward: -35.9/52.8
Iteration: 80, total timesteps: 32600, total time: 265.2, FPS: 122.9, mean reward: -12.5, min/max reward: -35.9/52.8
Iteration: 81, total timesteps: 33000, total time: 269.0, FPS: 122.7, mean reward: -11.8, min/max reward: -35.9/52.8
Iteration: 82, total timesteps: 33400, total time: 272.8, FPS: 122.4, mean reward: -11.9, min/max reward: -35.9/51.5
Iteration: 83, total timesteps: 33800, total time: 276.7, FPS: 122.2, mean reward: -11.5, min/max reward: -35.9/51.5
Iteration: 84, total timesteps: 34200, total time: 280.5, FPS: 121.9, mean reward: -11.6, min/max reward: -33.9/51.5
Iteration: 85, total timesteps: 34600, total time: 284.4, FPS: 121.6, mean reward: -11.3, min/max reward: -33.9/51.5
Iteration: 86, total timesteps: 35000, total time: 286.6, FPS: 122.1, mean reward: -11.3, min/max reward: -33.9/51.5
Iteration: 87, total timesteps: 35400, total time: 290.1, FPS: 122.0, mean reward: -10.5, min/max reward: -33.9/51.5
Iteration: 88, total timesteps: 35800, total time: 293.3, FPS: 122.1, mean reward: -9.0, min/max reward: -33.9/51.5
Iteration: 89, total timesteps: 36200, total time: 296.7, FPS: 122.0, mean reward: -8.9, min/max reward: -30.7/53.8
Iteration: 90, total timesteps: 36600, total time: 300.1, FPS: 122.0, mean reward: -7.5, min/max reward: -30.7/53.8
Iteration: 91, total timesteps: 37000, total time: 303.4, FPS: 122.0, mean reward: -7.8, min/max reward: -30.9/53.8
Iteration: 92, total timesteps: 37400, total time: 305.2, FPS: 122.5, mean reward: -7.8, min/max reward: -30.9/53.8
