% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=1019460, Sun Mar 26 22:03:51 2023, <python>{}</python>
1 8 0.2215481045532003 1.0000375007031337 0.8602634029990456 8.6026340299904558e-01 1.1405564306760227 1.280493152908393   
2 16 0.30553374071315914 1.4788132592862113 0.6844602659944887 6.8446026599448873e-01 0.9617137098825048 1.195104115722685   
3 24 0.35784637587100754 1.5562124582963888 0.6601238540194365 6.6012385401943652e-01 0.715623292369795 1.0482195901216336   
4 32 0.3125949967549938 1.8185930512762796 0.6601238540194365 6.6375148415410701e-01 0.7125865398860265 1.0719893787011017   
5 40 0.2902191955962775 1.860430276532183 0.6580944929657828 6.5809449296578282e-01 0.7997438230967873 0.9411542401807375   
6 48 0.3031239178867957 1.6860082193232748 0.6580944929657828 6.8173369229170355e-01 0.7130417687186369 0.813818195300843   
7 56 0.29110935502201185 1.7933426982722185 0.6496754341601233 6.4967543416012330e-01 0.7022553627711774 0.7352085968866106   
8 64 0.2356372269462716 2.0917823807626768 0.6496754341601233 7.1250254896930909e-01 0.7522399837431659 0.8248457614556621   
9 72 0.24591150414561114 2.2586125604245026 0.6496754341601233 7.3148660965651080e-01 0.7497223756826308 0.9064774628230081   
10 80 0.22917710291465596 2.7297184422232084 0.6496754341601233 7.4831880757748115e-01 0.7750357052820827 0.8083387538888831   
