% # columns="iter, evals, sigma, 0, fitness, xbest" seed=1019460, Sun Mar 26 22:03:51 2023, <python>{}</python>
1 8 0.2215481045532003 0 0.8602634029990456 0.2539651614185348 -0.3877484767493479 -0.24218433841407158 0.16525675420073652
2 16 0.30553374071315914 0 0.6844602659944887 -0.17814332262143606 -0.8635719720844691 -0.6110452318980892 0.14658060552865235
3 24 0.35784637587100754 0 0.6601238540194365 0.2510681465017177 -0.9215632087966767 -0.3803086463901431 0.09845710045633574
4 32 0.3125949967549938 0 0.663751484154107 0.40434530242083894 -0.7304715044419277 -0.42176331483587304 -0.03784897797456918
5 40 0.2902191955962775 0 0.6580944929657828 0.5344860198290335 -0.8368776968255938 -0.4505670150459088 0.24791110835190439
6 48 0.3031239178867957 0 0.6817336922917036 0.5231933145196469 -0.8725801060800844 -0.43400935013845343 0.5878337030296298
7 56 0.29110935502201185 0 0.6496754341601233 0.2648994871334976 -0.8744272097466883 0.002790855875912379 0.39081702555658254
8 64 0.2356372269462716 0 0.7125025489693091 0.48542649171812335 -0.8202113511139776 -0.6065036831239242 0.3955679017337619
9 72 0.24591150414561114 0 0.7314866096565108 0.6067101392493823 -0.6931501251153307 -0.5656025024870681 0.14067899520569113
10 80 0.22917710291465596 0 0.7483188075774811 0.5514557392129973 -0.9970088842839144 -0.08857237809074758 0.3109531632234904
