% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=1019460, Sun Mar 26 22:03:51 2023, <python>{}</python>
1 8 0.2215481045532003 0 0 0.21277702330394188 0.24664174343338913 0.2359798155159075 0.21434112230746258
2 16 0.30553374071315914 0 0 0.30935892351271366 0.3448279929504868 0.3537485079673947 0.30142759050093
3 24 0.35784637587100754 0 0 0.37070139573599026 0.3977067362611562 0.4151544802327187 0.33836893112686683
4 32 0.3125949967549938 0 0 0.33128020988851475 0.3248377097255569 0.32694385598524134 0.27364977390367334
5 40 0.2902191955962775 0 0 0.30806408666331614 0.25495101659133507 0.28408228600946694 0.2644870981794107
6 48 0.3031239178867957 0 0 0.32738816890052497 0.25846501902115493 0.2703085191798769 0.29843828956367974
7 56 0.29110935502201185 0 0 0.31069575053951337 0.239426914084548 0.26810950238857234 0.28497528929952204
8 64 0.2356372269462716 0 0 0.2424614661660244 0.17960524488386426 0.22149536919946988 0.22205704809283344
9 72 0.24591150414561114 0 0 0.2593935293878429 0.1886391700662318 0.22733937197983525 0.2566817090359981
10 80 0.22917710291465596 0 0 0.2535834275974477 0.17399387547481737 0.20970028172994543 0.22365870243882352
